window_id,src_ip,dst_ip,mean_inter_arrival,std_inter_arrival,burstiness,syn_count,rst_count,syn_ratio,rst_ratio,zero_payload_ratio,flow_count_per_window,label
7,192.168.153.138,192.168.153.141,0.0011659463246663,0.0009065740432785,0.7775435490462979,0,0,0.0,0.0,0.75,2,1
7,192.168.153.138,192.168.153.141,0.005871295928955,0.012766675407309,2.1744220631681124,2,0,0.0869565217391304,0.0,0.4782608695652174,2,1
8,192.168.153.138,192.168.153.141,0.0003979206085205,0.0002712872389457,0.681762223762238,0,0,0.0,0.0,0.75,2,1
8,192.168.153.138,192.168.153.141,0.0049699374607631,0.0108611060140032,2.1853607011657594,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
9,192.168.153.138,192.168.153.141,0.0006701151529947,0.0005028741013086,0.7504293837577639,0,0,0.0,0.0,0.75,2,1
9,192.168.153.138,192.168.153.141,0.0061455423181707,0.0123458012492692,2.0089034636969343,2,0,0.0869565217391304,0.0,0.4782608695652174,2,1
10,192.168.153.138,192.168.153.141,0.0005746682484944,0.0004201224168377,0.7310694786747381,0,0,0.0,0.0,0.75,2,1
10,192.168.153.138,192.168.153.141,0.0051343554542178,0.0110916925042224,2.1602891741963006,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
12,192.168.153.138,192.168.153.141,0.0004831155141194,0.0003592946277421,0.7437033530107253,0,0,0.0,0.0,0.75,2,1
12,192.168.153.138,192.168.153.141,0.0054468654450916,0.0114401434013999,2.100316873388009,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
13,192.168.153.138,192.168.153.141,0.0005995432535807,0.0004393505801692,0.7328088132844681,0,0,0.0,0.0,0.75,2,1
13,192.168.153.138,192.168.153.141,0.0060108275640578,0.0129115969710334,2.148056458687861,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
14,192.168.153.138,192.168.153.141,0.0005472501118977,0.0003835443040512,0.7008574246264477,0,0,0.0,0.0,0.75,2,1
14,192.168.153.138,192.168.153.141,0.0050768057505289,0.0105019601665263,2.068615716768777,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
15,192.168.153.138,192.168.153.141,0.0003803571065266,0.0002607942063125,0.6856561947639604,0,0,0.0,0.0,0.75,2,1
15,192.168.153.138,192.168.153.141,0.0045249575660342,0.0115802149666099,2.5591875277538025,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
16,192.168.153.138,192.168.153.141,0.000521183013916,0.0003565863702633,0.6841864771917363,0,0,0.0,0.0,0.75,2,1
16,192.168.153.138,192.168.153.141,0.0041126977829706,0.0102743732772797,2.498207701966981,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
18,192.168.153.138,192.168.153.141,0.0004255771636962,0.0003089149210035,0.7258728788934653,0,0,0.0,0.0,0.75,2,1
18,192.168.153.138,192.168.153.141,0.0040845189775739,0.0104050357686181,2.547432347786131,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
19,192.168.153.138,192.168.153.141,0.001441478729248,0.0010083017027703,0.6994912115673917,0,0,0.0,0.0,0.75,2,1
19,192.168.153.138,192.168.153.141,0.0052070731208437,0.0111980259394356,2.150541327067256,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
20,192.168.153.138,192.168.153.141,0.0003604888916015,0.000252714771737,0.7010334510289562,0,0,0.0,0.0,0.75,2,1
20,192.168.153.138,192.168.153.141,0.0042172613598051,0.010465572233778,2.4816038990435314,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
21,192.168.153.138,192.168.153.141,0.0006945133209228,0.0005089955802333,0.7328809468435308,0,0,0.0,0.0,0.75,2,1
21,192.168.153.138,192.168.153.141,0.0051309381212506,0.0110582387305523,2.155207969621124,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
22,192.168.153.138,192.168.153.141,0.0004431406656901,0.0002984311385137,0.6734456158497513,0,0,0.0,0.0,0.75,2,1
22,192.168.153.138,192.168.153.141,0.0047795318421863,0.0118870193655797,2.4870677208716296,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
24,192.168.153.138,192.168.153.141,0.0012609163920084,0.0010323605293601,0.8187382889961183,0,0,0.0,0.0,0.75,2,1
24,192.168.153.138,192.168.153.141,0.0039573851085844,0.0096675769244109,2.442920428299948,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
25,192.168.153.138,192.168.153.141,0.0012540817260742,0.001013612262287,0.8082505639086844,0,0,0.0,0.0,0.75,2,1
25,192.168.153.138,192.168.153.141,0.0050019536699567,0.0110740106112249,2.2139370617802454,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
26,192.168.153.138,192.168.153.141,0.0012337366739908,0.0009918452898304,0.8039359700818818,0,0,0.0,0.0,0.75,2,1
26,192.168.153.138,192.168.153.141,0.0044964381626674,0.0098086964781529,2.181436978182337,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
27,192.168.153.138,192.168.153.141,0.0100821684568356,0.0259527608714183,2.574124900067758,0,0,0.0,0.0,0.3417721518987341,2,1
27,192.168.153.138,192.168.153.141,0.0061544690813337,0.0143012509186037,2.323718054247602,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
28,192.168.153.138,192.168.153.141,0.0003337065378824,0.0002508825386817,0.7518058839174789,0,0,0.0,0.0,0.75,2,1
28,192.168.153.138,192.168.153.141,0.0043071565173921,0.010932110341558,2.538127021252816,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
29,192.168.153.138,192.168.153.141,0.0002785523732503,0.0001924345000379,0.690837768827956,0,0,0.0,0.0,0.75,2,1
29,192.168.153.138,192.168.153.141,0.0047025794074648,0.011704565408775,2.488967095418997,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
31,192.168.153.138,192.168.153.141,0.0010542074839274,0.0007220571211345,0.6849288514293017,0,0,0.0,0.0,0.75,2,1
31,192.168.153.138,192.168.153.141,0.0073892094872214,0.0184569997308605,2.497831434171571,2,0,0.0869565217391304,0.0,0.4782608695652174,2,1
32,192.168.153.138,192.168.153.141,0.0045226992982806,0.0111307010835608,2.461074758561181,0,0,0.0,0.0,0.2985074626865671,1,1
0,192.168.153.138,192.168.153.141,0.0719794962141248,0.2455129028885447,3.410872759628547,2,0,0.054054054054054,0.0,0.4324324324324324,2,0
0,192.168.153.138,192.168.153.141,0.0054159890050473,0.0116078278101404,2.1432517309992125,2,0,0.0833333333333333,0.0,0.375,2,0
1,192.168.153.138,192.168.153.141,0.2506852087221647,0.593797990380117,2.36869974661419,0,0,0.0,0.0,0.358974358974359,1,0
2,192.168.153.138,192.168.153.141,0.5499723378349753,1.93053184341693,3.5102344438207096,0,0,0.0,0.0,0.3888888888888889,1,0
22,192.168.153.138,192.168.153.149,0.0005432764689127,0.0006126284763097,1.1276550915885954,2,1,0.5,0.25,1.0,4,1
22,192.168.153.138,192.168.153.149,0.0038755065516421,0.0120212571323356,3.1018544213896098,2,0,0.1,0.0,0.5,4,1
25,192.168.153.138,192.168.153.149,0.0002699693044026,0.0002612434039297,0.9676781755160708,2,1,0.5,0.25,1.0,43,1
25,192.168.153.138,192.168.153.149,0.0036927726533677,0.0073864811126101,2.000253415512526,2,0,0.1052631578947368,0.0,0.4736842105263157,43,1
25,192.168.153.138,192.168.153.149,0.1477367401123047,0.6377337167742058,4.316690054819277,2,0,0.0769230769230769,0.0,0.5769230769230769,43,1
25,192.168.153.138,192.168.153.149,0.0317830521127452,0.0603411706616144,1.8985329177186632,2,0,0.0833333333333333,0.0,0.5416666666666666,43,1
25,192.168.153.138,192.168.153.149,0.1320349905225965,0.530920324020247,4.021057765966855,2,0,0.0714285714285714,0.0,0.6071428571428571,43,1
