window_id,src_ip,dst_ip,mean_inter_arrival,std_inter_arrival,packet_count,syn_count,rst_count,zero_payload_count,packet_size_std,unique_packet_sizes,flow_count_per_window,label
17,192.168.153.138,192.168.153.149,0.0862813889980316,0.1690360249649442,9,2,2,7,9.573626323794674,3,77,1
17,192.168.153.138,192.168.153.149,0.4885778129100799,1.6224774028828746,25,2,0,15,365.9442055833102,10,77,1
17,192.168.153.138,192.168.153.149,0.4165418698237492,1.370703512843279,27,2,0,17,354.123644445772,10,77,1
17,192.168.153.138,192.168.153.149,0.1147472381591796,0.166257727280354,6,0,0,5,19.37925580499818,2,77,1
17,192.168.153.138,192.168.153.149,0.3373881092777959,1.0523915027411337,28,2,0,16,424.2297401750373,11,77,1
17,192.168.153.138,192.168.153.149,0.0990754127502441,0.1100218590248347,6,0,0,5,19.37925580499818,2,77,1
17,192.168.153.138,192.168.153.149,0.2132685184478759,0.6744291955553257,21,0,0,12,394.0439102112901,8,77,1
17,192.168.153.138,192.168.153.149,0.4635833203792572,1.1551493699351405,9,2,2,7,9.573626323794674,3,77,1
17,192.168.153.138,192.168.153.149,0.3877057433128357,0.9828177981109504,9,2,2,7,9.573626323794674,3,77,1
17,192.168.153.138,192.168.153.149,0.3661243915557861,1.4405098580946665,22,0,0,13,386.4233643672774,9,77,1
17,192.168.153.138,192.168.153.149,0.0672230243682861,0.0647379789604138,6,0,0,5,19.37925580499818,2,77,1
17,192.168.153.138,192.168.153.149,0.3666629095872243,1.094626145841619,25,2,0,15,365.94420558331024,10,77,1
17,192.168.153.138,192.168.153.149,0.2620582921164376,0.8069001265856317,22,0,0,12,385.6387745842084,9,77,1
17,192.168.153.138,192.168.153.149,0.0169403553009033,0.0231726925122101,9,2,2,7,9.573626323794674,3,77,1
17,192.168.153.138,192.168.153.149,0.1768376185343815,0.551920530975753,27,2,0,17,354.123644445772,10,77,1
17,192.168.153.138,192.168.153.149,0.2416715522607167,0.7626670373118754,25,2,0,15,365.9442055833102,10,77,1
17,192.168.153.138,192.168.153.149,0.2625503921508789,0.9384658141477706,26,2,0,16,359.89414124073807,10,77,1
17,192.168.153.138,192.168.153.149,0.1486132230077471,0.5498558147538296,29,2,0,18,342.6434275313623,10,77,1
17,192.168.153.138,192.168.153.149,0.2058897415796915,0.6394707810803056,25,2,0,15,365.9442055833102,10,77,1
17,192.168.153.138,192.168.153.149,0.2005455585626455,0.7359795442788967,27,2,0,17,354.123644445772,10,77,1
17,192.168.153.138,192.168.153.149,0.0166170597076416,0.0180749110673369,5,0,0,4,20.8,2,77,1
17,192.168.153.138,192.168.153.149,0.0093942880630493,0.0109155971611056,9,2,2,7,9.573626323794674,3,77,1
17,192.168.153.138,192.168.153.149,0.222878078619639,0.848761182458956,25,2,0,15,365.8539511881756,10,77,1
17,192.168.153.138,192.168.153.149,0.066493136542184,0.1100106984833067,22,2,0,13,386.8285651848571,10,77,1
17,192.168.153.138,192.168.153.149,0.0256600081920623,0.0307494017421397,9,2,2,7,9.573626323794674,3,77,1
17,192.168.153.138,192.168.153.149,0.0522188901901245,0.0671659888308571,21,2,0,12,394.3063716695801,10,77,1
17,192.168.153.138,192.168.153.149,0.1801709120090191,0.6887788993989882,27,2,0,17,354.123644445772,10,77,1
17,192.168.153.138,192.168.153.149,2.3603439331054688e-05,0.0,2,0,0,2,0.0,1,77,1
17,192.168.153.138,192.168.153.149,0.0488649341795179,0.0809690848719978,19,2,0,10,410.5559233587869,10,77,1
17,192.168.153.138,192.168.153.149,0.0120256628308977,0.0117384995064517,8,2,1,6,9.971835337589566,3,77,1
17,192.168.153.138,192.168.153.149,0.010674340384347,0.0126930485547782,8,2,1,6,9.971835337589566,3,77,1
17,192.168.153.138,192.168.153.149,0.0087452888488769,0.0134287679115988,11,2,2,9,8.881217994050774,3,77,1
17,192.168.153.138,192.168.153.149,0.1450668705834282,0.5679877679685831,28,2,0,16,347.3281912672503,10,77,1
17,192.168.153.138,192.168.153.149,0.0381793230772018,0.0402222380619937,17,2,0,8,428.7745796317784,10,77,1
17,192.168.153.138,192.168.153.149,0.0194813609123229,0.0207108426231047,5,0,0,4,20.8,2,77,1
17,192.168.153.138,192.168.153.149,0.029552868434361,0.052272282037145,8,2,1,6,9.971835337589566,3,77,1
17,192.168.153.138,192.168.153.149,0.0295120988573346,0.0524416536964036,8,2,1,6,9.971835337589566,3,77,1
17,192.168.153.138,192.168.153.149,0.0437022844950358,0.048482006456884,19,2,0,10,410.3626394359937,10,77,1
17,192.168.153.138,192.168.153.149,0.0252681970596313,0.0227817084461354,21,2,0,11,393.4635550606915,10,77,1
17,192.168.153.138,192.168.153.149,0.0282324986024336,0.0318458176527227,23,2,0,13,379.0202273008838,10,77,1
